source_cluster,source_modern,found_name,found_normalized,category,relationship,confidence,matched_clusters,is_cross_link
"Galen","Galen","Marie","Maria",PERSON,"mentioned alongside",low,,False
"Galen","Galen","gallta mufcata","grain of musk",SUBSTANCE,"mentioned in recipe with",low,,False
"Galen","Galen","legno di finocchio","fennel wood",PLANT,"mentioned in recipe with",low,,False
"Galen","Galen","Seme d'Anici","anise seed",PLANT,"mentioned in recipe with",low,,False
"Galen","Galen","OXYMELE","oxymel",SUBSTANCE,"mentioned alongside",high,84,True
"Galen","Galen","Di Finocchio","of Fennel",PLANT,"part of oxymel name",high,,False
"Galen","Galen","Aceto bianco","white vinegar",SUBSTANCE,"mentioned in recipe with",low,,False
"Galen","Galen","Spigo nardi","Spikenard",PLANT,"ingredient in a syrup",high,186,True
"Galen","Galen","LINCTI","Linctus",SUBSTANCE,"type of preparation; synonym for 'LO CE HI»'",high,,False
"Galen","Galen","LO CE HI»","Loch",SUBSTANCE,"type of preparation; synonym for 'LINCTI'",high,,False
"Galen","Galen","EciPECapi","Ecipe",SUBSTANCE,"ingredient; synonym for 'capi'",high,,False
"Galen","Galen","capi","Thymiama",SUBSTANCE,"ingredient; synonym for 'EciPECapi'",high,793,True
"Galen","Galen","LINCTI","Linctus",SUBSTANCE,"type of preparation; synonym for 'LO CE HI»'",high,,False
"Galen","Galen","LO CE HI»","Loch",SUBSTANCE,"type of preparation; synonym for 'LINCTI'",high,,False
"Galen","Galen","EciPECapi","Ecipe",SUBSTANCE,"ingredient; synonym for 'capi'",high,,False
"Galen","Galen","capi","Thymiama",SUBSTANCE,"ingredient; synonym for 'EciPECapi'",high,793,True
"Galen","Galen","lapis LazzoU","Lapis Lazuli",SUBSTANCE,"ingredient; preparation described",high,,False
"Galen","Galen","LATTO VARO","Lactucarium",SUBSTANCE,"preparation; synonym for 'LETÌA'",high,,False
"Galen","Galen","LETÌA","Lactucarium",SUBSTANCE,"preparation; synonym for 'LATTO VARO'",high,,False
"Galen","Galen","NiccoUo Ale^mdrìno","Niccolò Alessandrino",PERSON,"authority cited",high,,False
"Galen","Galen","Pomi dolci","Sweet apples",PLANT,"ingredient",high,,False
"Galen","Galen","Borrana","Borrago",PLANT,"ingredient",high,,False
"Galen","Galen","Bajfsilico","Basil",PLANT,"ingredient",high,,False
"Galen","Galen","AS- fetida","Asafoetida",PLANT,"ingredient",high,,False
"Galen","Galen","Sa fetida","Asafoetida",PLANT,"ingredient",high,,False
"Galen","Galen","EciPE aloe","Aloe",PLANT,"ingredient",high,384,True
"Galen","Galen","aloe","Aloe",PLANT,"ingredient",high,384,True
"Galen","Galen","Myrrha","Myrrh",PLANT,"ingredient",high,489;671,True
"Galen","Galen","ruta","Rue",PLANT,"ingredient",high,416,True
"Galen","Galen","Scamonea","Scammony",PLANT,"ingredient",high,229,True
"Galen","Galen","Gherofani","Cloves",PLANT,"ingredient",high,,False
"Galen","Galen","òaie indo","Indian sugar",SUBSTANCE,"synonym for 'zucchero candi'",high,,False
"Galen","Galen","zucchero can- dì","Candi sugar",SUBSTANCE,"synonym for 'òaie indo'",high,,False
"Galen","Galen","Soìatrocj","Sausage tree",PLANT,"ingredient",medium,,False
"Galen","Galen","pìjolc","Pills",SUBSTANCE,"type of preparation",high,565,True
"Galen","Galen","Colocmthida","Colocynth",PLANT,"ingredient",high,507,True
"Galen","Galen","Agarico","Agaric",SUBSTANCE,"ingredient",high,65,True
"Galen","Galen","Goaxma Arabica","Gum Arabic",SUBSTANCE,"ingredient",high,,False
"Galen","Galen","Petta","Pepper",PLANT,"ingredient",high,,False
"Galen","Galen","Rhabarbaro","Rhubarb",PLANT,"ingredient",high,141,True
"Galen","Galen","oppio","Opium",SUBSTANCE,"ingredient",high,83;196,True
"Galen","Galen","Myrrha","Myrrh",PLANT,"ingredient",high,489;671,True
"Galen","Galen","mandragora","Mandrake",PLANT,"ingredient",high,,False
"Galen","Galen","Trementina","Turpentine",SUBSTANCE,"ingredient",high,259,True
"Galen","Galen","Pece greca","Greek pitch",SUBSTANCE,"ingredient",high,,False
"Galen","Galen","rame","Copper",SUBSTANCE,"ingredient",high,,False
"Galen","Galen","Verderame","Verdigris",SUBSTANCE,"ingredient",high,637,True
"Galen","Galen","Arjftolocfottilc","Aristolochia rotunda",PLANT,"ingredient",high,,False
"Galen","Galen","jlimearfo","Calx of arsenic",SUBSTANCE,"ingredient",high,,False
"Galen","Galen","Sale ammoniaca","Sal ammoniac",SUBSTANCE,"ingredient",high,,False
"Galen","Galen","Ammom^co","Ammoniac",SUBSTANCE,"ingredient",high,,False
"Galen","Galen","Allume rotondo","Round alum",SUBSTANCE,"ingredient",high,,False
"Galen","Galen","Myrrha","Myrrh",PLANT,"ingredient",high,489;671,True
"Galen","Galen","So Bengiu","Benzoin",SUBSTANCE,"ingredient",high,,False
"Galen","Galen","Antimonio","Antimony",SUBSTANCE,"ingredient",high,612,True
"Galen","Galen","Trifero","Triphera",SUBSTANCE,"synonym for 'Bianco di Galeno'",high,,False
"Galen","Galen","Bitume","Bitumen",SUBSTANCE,"ingredient",high,457,True
"Galen","Galen","A^omelite di Phi/a^rio","Amomum of Physalies",PLANT,"ingredient",low,,False
"Galen","Galen","Bitume Giudaico","Judean bitumen",SUBSTANCE,"ingredient",high,457,True
"humoral theory","Humoralism","Rhewms","Rheums",CONCEPT,"bodily fluid",high,563,True
"humoral theory","Humoralism","Cachexia","Cachexia",DISEASE,"a condition",high,52,True
"humoral theory","Humoralism","Humors","Humors",CONCEPT,"bodily fluid",high,2;15,False
"humoral theory","Humoralism","Oyl of Spike","Oil of Spike",SUBSTANCE,"synonym for 'Chimical Oyl drawn from Lavender'",high,,False
"humoral theory","Humoralism","Chimical Oyl","Chemical Oil",SUBSTANCE,"type of oil; synonym for 'Oyl of Spike'",high,,False
"humoral theory","Humoralism","Lavender","Lavender",PLANT,"source of oil",high,767,True
"humoral theory","Humoralism","Diarhodon Abba∣tis","Diarhodon Abbatis",SUBSTANCE,"a cordial powder",high,834,True
"humoral theory","Humoralism","Aromaticum Rosarum","Aromaticum Rosarum",SUBSTANCE,"a cordial powder",high,764,True
"humoral theory","Humoralism","maos humores","bad humors",CONCEPT,"removed from the stomach",high,,False
"Dioscorides","Dioscorides","cardamomo mayor","greater cardamom",PLANT,"mentioned as an alternative to Dioscorides' practice",high,,False
"Dioscorides","Dioscorides","cardamomo menor","lesser cardamom",PLANT,"mentioned as an alternative to Dioscorides' practice",high,,False
"Dioscorides","Dioscorides","Galeno","Galen",PERSON,"referenced by the author",high,1,True
"Dioscorides","Dioscorides","Plinio","Pliny",PERSON,"referenced by the author",high,25,True
"Dioscorides","Dioscorides","lentilhas de agoa","water lentils",PLANT,"compared to the leaves described",high,225,True
"Dioscorides","Dioscorides","Plinio","Pliny",PERSON,"referenced by the author",high,25,True
"Dioscorides","Dioscorides","Galeno","Galen",PERSON,"mentioned as a valid author",high,1,True
"Dioscorides","Dioscorides","Plinio","Pliny",PERSON,"mentioned as a valid author",high,25,True
"Dioscorides","Dioscorides","Avi- cenna","Avicenna",PERSON,"mentioned as a valid author",high,19,True
"Dioscorides","Dioscorides","Serapio","Serapion",PERSON,"mentioned as a valid author",high,59,True
"Dioscorides","Dioscorides","Aecio de Amida","Aetius of Amida",PERSON,"mentioned as a valid author",high,,False
"Dioscorides","Dioscorides","Paulo de Egina","Paul of Aegina",PERSON,"mentioned as a valid author",high,,False
"Dioscorides","Dioscorides","João Ruellio","Johannes Ruellius",PERSON,"mentioned as a valid author",high,,False
"Dioscorides","Dioscorides","António Mnsa","Antonio Musa",PERSON,"mentioned as a valid author",high,,False
"Dioscorides","Dioscorides","Mattheus Sylvatico","Matthaeus Sylvaticus",PERSON,"mentioned as a valid author",high,,False
"Dioscorides","Dioscorides","Pandetario","Pandectarius",BOOK,"an alternative name for a work by Matthaeus Sylvaticus",high,,False
"Dioscorides","Dioscorides","Vsilerío Gordo","Usherius Gordus",PERSON,"mentioned as a valid author",high,,False
"Dioscorides","Dioscorides","Galeno","Galen",PERSON,"referenced by the author",high,1,True
"Dioscorides","Dioscorides","Plinio","Pliny",PERSON,"referenced by the author",high,25,True
"Dioscorides","Dioscorides","Avicena","Avicenna",PERSON,"referenced by the author",high,19,True
"Dioscorides","Dioscorides","Serapiam","Serapion",PERSON,"referenced by the author",high,59,True
"Dioscorides","Dioscorides","Rasis","Rhazes",PERSON,"referenced by the author",high,395,True
"Dioscorides","Dioscorides","licium","lycium",SUBSTANCE,"identified with 'cate'",high,,False
"Dioscorides","Dioscorides","Licia","Lycia",PLACE,"a place associated with the origin of 'licium'",high,,False
"Dioscorides","Dioscorides","junco aromático","sweet flag",PLANT,"compared to 'esquinanto'",high,158,True
"Dioscorides","Dioscorides","calamo aromático","calamus",PLANT,"compared to 'esquinanto'",high,158,True
"Dioscorides","Dioscorides","esquinanto","squill",PLANT,"the subject of discussion",high,,False
"Dioscorides","Dioscorides","Nizamoxa","Nizamoxa",PLACE,"a place where learned physicians call 'esquinanto'",low,354,True
"Dioscorides","Dioscorides","frol fbca","flower of 'esquinanto'",PLANT,"associated with 'esquinanto'",high,,False
"Dioscorides","Dioscorides","esquinanto","squill",PLANT,"the subject of discussion",high,,False
"Dioscorides","Dioscorides","Mascate","Muscat",PLACE,"a place where 'calamo aromático' is known",high,,False
"Dioscorides","Dioscorides","Meca","Mecca",PLACE,"geographically close to Muscat",high,600,True
"Dioscorides","Dioscorides","calamo aromático","calamus",PLANT,"discussed by the author",high,158,True
"Dioscorides","Dioscorides","epatico","hepatic",SUBSTANCE,"a type of 'Socotorino'",high,826,True
"Dioscorides","Dioscorides","Socotorino","Socotrine",SUBSTANCE,"a reference point for quality",high,,False
"Dioscorides","Dioscorides","cauallino","equine",SUBSTANCE,"a type of substance used in horse medicine",high,384,True
"Dioscorides","Dioscorides","Amomo","Amomum",PLANT,"a reference for substitution",high,556,True
"Dioscorides","Dioscorides","ARISTOLOCHIE","Aristolochia",PLANT,"the subject of discussion",high,1179,True
"Dioscorides","Dioscorides","Ariftolochia","Aristolochia",PLANT,"the subject of discussion",high,1179,True
"Dioscorides","Dioscorides","rotonda","round",CONCEPT,"a type of Aristolochia",high,1092,True
"Dioscorides","Dioscorides","lunga","long",CONCEPT,"a type of Aristolochia",high,,False
"Dioscorides","Dioscorides","clematite","clematitis",PLANT,"a type of Aristolochia",high,,False
"Dioscorides","Dioscorides","rapa","turnip",PLANT,"compared to the root of round Aristolochia",high,605,True
"Dioscorides","Dioscorides","tartufo","truffle",PLANT,"compared to the root of round Aristolochia",high,,False
"Dioscorides","Dioscorides","Ammoniaci","Ammoniac",SUBSTANCE,"mentioned in relation to Ammoniaci",high,,False
"Dioscorides","Dioscorides","Ammoniaco chy","Ammoniac",SUBSTANCE,"synonym for Ammoniaci",high,,False
"Dioscorides","Dioscorides","chy","chy",CONCEPT,"part of a name for Ammoniaci",low,,False
"Dioscorides","Dioscorides","miama","miama",CONCEPT,"part of a name for Ammoniaci",low,,False
"Dioscorides","Dioscorides","Phnio","Pliny",PERSON,"mentioned alongside Dioscoride",high,25,True
"Dioscorides","Dioscorides","meropio","Meropio",PLANT,"plant from which Ammoniaci is derived",high,,False
"Dioscorides","Dioscorides","thymalo","Thymalo",PLANT,"a plant understood under the name Efula",high,,False
"Dioscorides","Dioscorides","Efula","Efula",PLANT,"a general term for three plants",high,,False
"Dioscorides","Dioscorides","Scebram","Scebram",PLANT,"mentioned as synonymous with Efula maggiore",high,,False
"Dioscorides","Dioscorides","Mesue","Mesue",PERSON,"mentioned alongside Dioscoride",high,,False
"Dioscorides","Dioscorides","tithymalo cypanfsia","Tithymalo cypanfsia",PLANT,"synonym for Efula minore",high,,False
"Dioscorides","Dioscorides","Sceb","Sceb",PLANT,"part of a name synonymous with Efula minore",low,,False
"Dioscorides","Dioscorides","Pepio","Pepio",PLANT,"synonym for Efula rotonda",high,,False
"Dioscorides","Dioscorides","HARMEL","Harmel",PLANT,"mentioned as a type of wild rue",high,,False
"Dioscorides","Dioscorides","ruta salvatica","wild rue",PLANT,"Harmel is a species of",high,,False
"Dioscorides","Dioscorides","Moly","Moly",PLANT,"synonym for Harmel",high,,False
"Dioscorides","Dioscorides","Befasi","Befasi",PLANT,"synonym for Harmel",high,,False
"Dioscorides","Dioscorides","Harmala","Harmala",PLANT,"synonym for Harmel",high,,False
"Dioscorides","Dioscorides","Myrabolani","Myrabolani",FRUIT,"a term used by the Arabs",high,,False
"Dioscorides","Dioscorides","noce vnguentaria","unguentary nut",PLANT,"common name for Dioscoride's Myrabolani",high,,False
"Dioscorides","Dioscorides","beeni","beeni",PLANT,"vulgar name for Dioscoride's Myrabolani",high,,False
"Dioscorides","Dioscorides","Citrini","Citrini",FRUIT,"a type of Myrabolani",high,,False
"Dioscorides","Dioscorides","Cheboli","Cheboli",FRUIT,"a type of Myrabolani",high,,False
"Dioscorides","Dioscorides","Indi","Indi",FRUIT,"a type of Myrabolani",high,704,True
"Dioscorides","Dioscorides","Emblici","Emblici",FRUIT,"a type of Myrabolani",high,580,True
"Dioscorides","Dioscorides","Belinci","Belinci",FRUIT,"a type of Myrabolani",high,,False
"Dioscorides","Dioscorides","piflàsphalto","pissasphalt",SUBSTANCE,"mentioned as having the same virtue as bitumen",high,,False
"Dioscorides","Dioscorides","bitume","bitumen",SUBSTANCE,"mentioned alongside pissasphalt",high,457,True
"Dioscorides","Dioscorides","pece","pitch",SUBSTANCE,"mentioned alongside bitumen",high,99,True
"Dioscorides","Dioscorides","Mumia","Mummy",SUBSTANCE,"discussed in relation to artificial mummy",high,675,True
"Dioscorides","Dioscorides","pompholige","pompholige",SUBSTANCE,"mentioned in contrast to cadmia",high,,False
"Dioscorides","Dioscorides","cadmia","cadmia",SUBSTANCE,"mentioned in contrast to pompholige",high,,False
"Dioscorides","Dioscorides","VALERIANA","Valerian",PLANT,"the subject of the following text",high,207,True
"Dioscorides","Dioscorides","maggiore","maggiore",PLANT,"a type of Valeriana",high,,False
"Dioscorides","Dioscorides","domestica","domestic",PLANT,"synonym for Valeriana maggiore",high,,False
"Dioscorides","Dioscorides","saluoca","salvoca",PLANT,"a type of Valeriana",high,,False
"Dioscorides","Dioscorides","minore","minore",PLANT,"synonym for Valeriana salvoca",high,,False
"Dioscorides","Dioscorides","orobi","orobi",PLANT,"flour used in a mixture",high,,False
"Dioscorides","Dioscorides","fico","fig",PLANT,"mentioned in relation to a liquid",high,,False
"Dioscorides","Dioscorides","hypociftide","Hypocistis",PLANT,"mentioned as a source of juice",high,226,True
"Dioscorides","Dioscorides","imbrentina","imbrentina",PLANT,"plant near which Hypocistis grows",low,,False
"Dioscorides","Dioscorides","Minio","Minium",SUBSTANCE,"mentioned as 'Molibdena' by the ancients",high,,False
"Dioscorides","Dioscorides","Molibdena","Molybdena",SUBSTANCE,"ancient name for Minium",high,,False
"Dioscorides","Dioscorides","Myli","Myli",CONCEPT,"listed as a substance",low,,False
"Dioscorides","Dioscorides","Nigella","Nigella",PLANT,"listed as a substance",high,810,True
"Dioscorides","Dioscorides","PilTasphako","Pissasphalt",SUBSTANCE,"listed as a substance",high,,False
"Dioscorides","Dioscorides","Ribes","Ribes",PLANT,"listed as a substance",high,,False
"Dioscorides","Dioscorides","Sale Indo","Indian Salt",SUBSTANCE,"listed as a substance",high,,False
"Dioscorides","Dioscorides","Sale ammoniaco","Ammoniac Salt",SUBSTANCE,"listed as a substance",high,,False
"Dioscorides","Dioscorides","Scariola","Scariola",PLANT,"listed as a substance",high,824,True
"Dioscorides","Dioscorides","Secacul","Secacul",CONCEPT,"listed as a substance",low,,False
"Dioscorides","Dioscorides","Silienfi","Silienfi",CONCEPT,"listed as a substance",low,,False
"Dioscorides","Dioscorides","Sifone","Siphon",TOOL,"listed as a substance",high,,False
"Dioscorides","Dioscorides","Stratiot","Stratiotes",PLANT,"listed as a substance",high,,False
"Dioscorides","Dioscorides","acque","water",SUBSTANCE,"mentioned in relation to Stratiotes",high,17,True
"Dioscorides","Dioscorides","Taraflàcon","Taracon",CONCEPT,"listed as a substance",low,,False
"Dioscorides","Dioscorides","Terra famia","Terra Famia",SUBSTANCE,"listed as a substance",high,,False
"Dioscorides","Dioscorides","Trementina","Turpentine",SUBSTANCE,"listed as a substance",high,259,True
"Dioscorides","Dioscorides","joyna","Joyna",PLANT,"common name for Elycrison",high,,False
"Dioscorides","Dioscorides","Elycrison","Helichrysum",PLANT,"Latin name for Joyna",high,,False
"Dioscorides","Dioscorides","Elelichrifſſo","Helichrysum",PLANT,"synonym for Elycrison",high,,False
"Dioscorides","Dioscorides","joyna","Joyna",PLANT,"common name for Elycrison",high,,False
"Dioscorides","Dioscorides","Elycrison","Helichrysum",PLANT,"Latin name for Joyna",high,,False
"Dioscorides","Dioscorides","Elelichrifſſo","Helichrysum",PLANT,"synonym for Elycrison",high,,False
"calor","heat","Bicho","Bicho",DISEASE,"vernacular name for heat-related ailment in Brazil",high,,False
"calor","heat","vermelhidão","vermelhidão",DISEASE,"symptom of heat-related ailment",high,,False
"calor","heat","impigem","impigem",DISEASE,"symptom of heat-related ailment",high,,False
"calor","heat","fogo","fogo",DISEASE,"symptom of heat-related ailment",high,317;902,True
"calor","heat","abertura","abertura",DISEASE,"symptom of heat-related ailment",high,,False
"pedras","Calculus (medicine)","Cardanilho","Cardanilho",SUBSTANCE,"vernacular name for verdigris",high,,False
"pedras","Calculus (medicine)","piedra de la Yjada","piedra de la Yjada",SUBSTANCE,"type of stone",high,,False
"pedras","Calculus (medicine)","plasma de Esmeraldas","plasma de Esmeraldas",SUBSTANCE,"description of a stone",medium,,False
"pedras","Calculus (medicine)","Bezaarticas","Bezaarticas",SUBSTANCE,"term for antidotes to poisons",high,,False
"pedras","Calculus (medicine)","Bezaar","Bezoar",SUBSTANCE,"alternative name for calculus",high,215,True
"pedras","Calculus (medicine)","Napelo","Aconite",PLANT,"mentioned in the context of calculus",low,828;231,True
"pedras","Calculus (medicine)","Bezaar cetrina","Yellow bezoar",SUBSTANCE,"specific type of bezoar",high,,False
"pedras","Calculus (medicine)","alma","alma",CONCEPT,"synonym for 'pedras preciosas' in Moorish language",high,,False
"pedras","Calculus (medicine)","iraa","iraa",CONCEPT,"synonym for 'pedras preciosas' in heathen language",high,,False
"pedras","Calculus (medicine)","itam","itam",CONCEPT,"synonym for 'pedras preciosas' in Malay language",high,,False
"pedras","Calculus (medicine)","nilá" condi","nila condi",CONCEPT,"synonym for 'rubim' and 'çajira'",high,,False
"pedras","Calculus (medicine)","rubim","ruby",SUBSTANCE,"mentioned as equivalent to 'nilá' condi'",high,,False
"pedras","Calculus (medicine)","çajira","çajira",SUBSTANCE,"mentioned as equivalent to 'nilá' condi'",high,,False
"pedras","Calculus (medicine)","nilá" condi","nila condi",CONCEPT,"synonym for 'rubim' and 'çajira'",high,,False
"pedras","Calculus (medicine)","rubim","ruby",SUBSTANCE,"referred to by Arabians and Persians",high,,False
"pedras","Calculus (medicine)","yao","yao",CONCEPT,"Arabian and Persian name for 'rubim'",high,,False
"pedras","Calculus (medicine)","manica","manica",CONCEPT,"name for 'rubim' in the local language",high,,False
"pedras","Calculus (medicine)","jacintos","jacinth",SUBSTANCE,"mentioned alongside granadas",medium,,False
"pedras","Calculus (medicine)","granadas","garnet",SUBSTANCE,"mentioned alongside jacintos",medium,,False
"pedras","Calculus (medicine)","esmeralda oriental","Oriental emerald",SUBSTANCE,"variety of corindon",high,,False
"pedras","Calculus (medicine)","coryndon","corundum",SUBSTANCE,"type of mineral",high,,False
"pedras","Calculus (medicine)","esmeralda","emerald",SUBSTANCE,"mentioned in pharmacopoeias",high,,False
"pedras","Calculus (medicine)","feru^egi","feru^egi",SUBSTANCE,"synonym for 'smaragdi' (emerald)",high,,False
"pedras","Calculus (medicine)","smaragdi","smaragdi",SUBSTANCE,"Latin for emerald",high,,False
"pedras","Calculus (medicine)","turqueja","turquoise",SUBSTANCE,"identified by Orta",high,730,True
"pedras","Calculus (medicine)","bade /rangi","bade rangi",CONCEPT,"Persian name for 'mal francei*'",high,,False
"pedras","Calculus (medicine)","mal francei*","mal francese",CONCEPT,"meaning of 'bade /rangi'",high,,False
"pedras","Calculus (medicine)","pedra ba^ar","bezoar stone",SUBSTANCE,"a stone inquired about",high,887,True
"pedras","Calculus (medicine)","pietrofo","pietrofo",CONCEPT,"descriptive term; meaning 'stone-like' or 'petrifying'",medium,,False
"pedras","Calculus (medicine)","scagiuolo","scagiuolo",SUBSTANCE,"made from specular stone",high,,False
"pedras","Calculus (medicine)","pietra speculare","specular stone",SUBSTANCE,"used to make scagiuolo",high,,False
"pedras","Calculus (medicine)","allume","alum",SUBSTANCE,"compared to scagiuolo",high,,False
"pedras","Calculus (medicine)","allu^e di feccia","lees alum",SUBSTANCE,"made from wine lees",high,,False
"pedras","Calculus (medicine)","Piombo","Lead",SUBSTANCE,"mentioned for grinding",high,402,True
"pedras","Calculus (medicine)","rame","copper",SUBSTANCE,"mentioned for grinding",high,,False
"pedras","Calculus (medicine)","Liman","Limen",SUBSTANCE,"mentioned for grinding",high,,False
"pedras","Calculus (medicine)","porfido","porphyry",SUBSTANCE,"a type of hard stone used for grinding",high,,False
"pedras","Calculus (medicine)","acqua d'endiua","water of endive",SUBSTANCE,"used as a solvent",high,17,True
"distillation","Distillation","Antimonio Diaphoretico","Antimonium diaphoreticum",SUBSTANCE,"synonym",high,,False
"distillation","Distillation","Unicorno mineral","Unicornu minerale",SUBSTANCE,"synonym",high,,False
"distillation","Distillation","Mercurio Diaphoretico fixo","Mercurium diaphoreticum fixum",SUBSTANCE,"synonym",high,455,True
"distillation","Distillation","Diafeltetafon","Diafeltetafon",SUBSTANCE,"synonym",high,,False
"distillation","Distillation","Colcothar","Colcothar",SUBSTANCE,"synonym",high,,False
"distillation","Distillation","oleo,que Freytag.inAur.Medic. cap. 13. fol. ſefaz deTherebentinadeBeta","Oil of turpentine",SUBSTANCE,"derived substance",medium,,False
"distillation","Distillation","Pomatum","Pomatum",SUBSTANCE,"called",high,1085,True
"distillation","Distillation","Flixweed","Sisymbrium officinale",PLANT,"called",high,,False
"cold","cold","Diacalaminthes","Diacalaminthes",SUBSTANCE,"called",high,,False
"cold","cold","Cachexia","Cachexia",DISEASE,"called",high,52,True
"cold","cold","Drop•ort","Drosera rotundifolia",PLANT,"called",high,,False
"cold","cold","Flower-de-luce","Iris pseudacorus",PLANT,"synonym",high,,False
"cold","cold","Diarhodon Abba•tis","Diarhodon Abbatis",SUBSTANCE,"called",high,834,True
"cold","cold","Aromaticum Rosarum","Aromaticum Rosarum",SUBSTANCE,"synonym",high,764,True
"cold","cold","English Rubarb","Rheum officinale",PLANT,"called",high,,False
"cold","cold","fric","frio",CONCEPT,"synonym",low,7,False
"Medicina","Medicine","botica","botica",PLACE,"synonym",high,192,True
"Medicina","Medicine","Luminare majus","Luminare majus",CONCEPT,"a treatise on pharmacy and materia medica",high,,False
"Medicina","Medicine","pharmacia","pharmacy",CONCEPT,"related to Luminare majus",high,192;323,True
"Medicina","Medicine","materia medica","materia medica",CONCEPT,"related to Luminare majus",high,8,False
"Medicina","Medicine","Joanes Jacobi","Joanes Jacobi",PERSON,"author of Luminare majus",high,,False
"Medicina","Medicine","PAO CHAMADO CATE","bread called cate",SUBSTANCE,"discussed in the colloquy",high,,False
"Medicina","Medicine","medicina","medicine",CONCEPT,"prepared or composed",high,8,False
"Medicina","Medicine","acqua piouana","rainwater",SUBSTANCE,"used in preparation",high,,False
"Medicina","Medicine","medicina","medicine",CONCEPT,"uses woods",high,8,False
"Medicina","Medicine","LEGNI","woods",SUBSTANCE,"used in medicine",high,,False
"Medicina","Medicine","Medicina","medicine",CONCEPT,"application of alum",high,8,False
"Medicina","Medicine","allume scissile","scissile alum",SUBSTANCE,"a type of alum used in medicine",high,,False
"Medicina","Medicine","rotondo","round",SUBSTANCE,"a type of alum used in medicine",high,1092,True
"Medicina","Medicine","strongyle","strongyle",SUBSTANCE,"a type of alum used in medicine",high,,False
"Medicina","Medicine","astragalote","astragalote",SUBSTANCE,"a type of alum used in medicine",high,,False
"Medicina","Medicine","liquido","liquid",SUBSTANCE,"a type of alum used in medicine",high,,False
"Medicina","Medicine","piatite","piatite",SUBSTANCE,"a type of alum used in medicine",high,,False
"Medicina","Medicine","splinthite","splinthite",SUBSTANCE,"a type of alum used in medicine",high,,False
"Medicina","Medicine","Pozzuolo","Pozzuoli",PLACE,"location where alum is found",high,,False
"Medicina","Medicine","Volterrano","Volterra",PLACE,"location where alum is found",high,,False
"France","France","Ibériens","Iberians",PERSON,"mentioned alongside Corsicans and Tibareni",low,,False
"France","France","Corses","Corsicans",PERSON,"mentioned alongside Iberians and Tibareni",low,,False
"France","France","Tibareni","Tibareni",PERSON,"mentioned alongside Iberians and Corsicans",low,,False
